web-scraper-order,web-scraper-start-url,category,category-href,sub-category,sub-category-href,product-link,product-link-href,name,price,description,img-src
1720548418-7,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Mercurial Superfly 10 Elite Blueprint FG High-Top Football Boot"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/mercurial-superfly-10-elite-blueprint-fg-high-top-football-boot-mpGxJt/HJ9293-100,Nike Mercurial Superfly 10 Elite Blueprint,$390,"Obsessed with speed? We engineered the Air Zoom unit in the Superfly 10 Elite to the exact specifications of championship athletes. It gives you the propulsive feel you need to break through the back line. The result is the most responsive Mercurial we've ever made, because you demand greatness from yourself and your footwear.","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/6c73ece1-e830-4b9a-b198-c74789da25e8/mercurial-superfly-10-elite-blueprint-fg-high-top-football-boot-mpGxJt.png"
1720548422-8,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Air Max Plus Men&#x27;s Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/air-max-plus-shoes-8s3FF8/FZ4776-100,Nike Air Max Plus,$235,Let your attitude have the edge in the Air Max Plus. Its flame-like caging adds heat to the streets while airy mesh keeps you cool. And you get a tuned Nike Air experience that offers premium stability and unbelievable cushioning.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/0e42ff41-41ab-42cb-b8f3-8c42d8ae0d79/air-max-plus-shoes-8s3FF8.png"
1720548424-1,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Trousers & Tights,https://www.nike.com/ca/w/mens-best-trousers-tights-2kq19z76m50znik1,"<img alt=""Nike Solo Swoosh Men&#x27;s Fleece Trousers"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/solo-swoosh-fleece-trousers-dFH1kV/DX1364-063,Nike Solo Swoosh,$120,"Celebrate the power and simplicity of the Swoosh. These soft, brushed-fleece trousers are made for comfort and laid-back, nostalgic style. They're roomy through the seat and thighs, then slightly taper to the cuffed ankle. A soft elastic waist and inner drawcord keeps them comfy where it counts, while the embroidered Swoosh on the left thigh gives you a clean, effortless finish.","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/f5203fb7-fedd-4f28-964f-aff84da33669/solo-swoosh-fleece-trousers-dFH1kV.png"
1720548425-9,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Dunk Low By You Custom Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>Customise",https://www.nike.com/ca/u/custom-nike-dunk-low-by-you-su24-10001873/2519044678,Nike Dunk Low By You,$160,"Our icon, your way. Whether you're on the go or going out on the town, this Dunk has just the right amount of flash to keep you shining. Smooth or pebbled leather is combined with reflective design options on the Swoosh logo and backtab for a look that's so you. Add some vintage style with inscription elements and tongue presets that reference original ""Be True To Your School"" aesthetics. Don't forget to finish your look with 12 different lace colour choices.",
1720548429-2,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Hoodies & Sweatshirts,https://www.nike.com/ca/w/mens-best-hoodies-sweatshirts-6rivez76m50znik1,"<img alt=""Nike Sportswear Tech Fleece Men&#x27;s 1/2-Zip Sweatshirt"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/sportswear-tech-fleece-1-2-zip-sweatshirt-hthBqP/FB7998-063,Nike Sportswear Tech Fleece,$160,"Ready for a night out on the town or an evening in, this sleek sweatshirt injects a dose of polished comfort into your daily wardrobe. Our premium, smooth-on-both-sides fleece feels warmer and softer than ever, while keeping the same lightweight build you love. The relaxed fit lets you throw it on over a tee and under a jacket when the conditions call for it.","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/94e64daa-3b3b-463f-a6eb-1c821ad4d4aa/sportswear-tech-fleece-1-2-zip-sweatshirt-hthBqP.png"
1720548430-10,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Pegasus 41 By You Custom Road Running Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>Customise",https://www.nike.com/ca/u/custom-nike-pegasus-41-by-you-10001885/5241028224,Nike Pegasus 41 By You,$210,"Responsive cushioning in the Pegasus provides an energised ride for everyday road running. Experience lighter-weight energy return with dual Air Zoom units and a ReactX foam midsole. Plus, improved engineered mesh on the upper decreases weight and increases breathability. With bold and bright colours to choose from and a trio of performance alternatives, this shoe is prepared for your special touch.",
1720548433-3,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shorts,https://www.nike.com/ca/w/mens-best-shorts-38fphz76m50znik1,"<img alt=""Nike Sportswear Men&#x27;s Woven Flow Shorts"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/sportswear-woven-flow-shorts-DDmwfQ/AR2382-010,Nike Sportswear,$55,The Nike Sportswear Shorts have a breathable mesh lining and lightweight woven fabric. The back pocket has a drainage grommet ideal for days spent in or out of the water.,"https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/zlcposwhoyftg3gylr8r/sportswear-woven-flow-shorts-DDmwfQ.png"
1720548434-11,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Air Jordan 1 Low Men&#x27;s Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/air-jordan-1-low-shoes-BVsF7K/CV3043-100,Air Jordan 1 Low,$160,"Inspired by the original that debuted in 1985, the Air Jordan 1 Low offers a classic look designed with premium materials like leather and suede, creating a look curated for the City of Light.","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco,u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/66b1a0a7-2277-4ab5-8f94-03e52d4fcd45/air-jordan-1-low-shoes-BVsF7K.png"
1720548438-4,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Air Force 1 Low By You Custom Men&#x27;s Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>Customise",https://www.nike.com/ca/u/custom-nike-air-force-1-low-by-you-10001371/4020678811,Nike Air Force 1 Low By You,$160,"Shine in satin, stay classic in canvas or get luxe with leather. No matter what you choose, these AF-1s are all about you. 12 colour choices and an additional gum rubber option for the sole mean your design is destined to be one of a kind—just like you.",
1720548438-12,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Air Max Plus Men&#x27;s Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/air-max-plus-shoes-VXp7Sp/HF3837-600,Nike Air Max Plus,$235,"This special version of the Nike Air Max Plus lets you continue the energy off the pitch. The Pastel Pink is a nod to the colour of boots worn by the best footballers for the world's biggest tournaments. The gradient design pairs with flame-like caging for defiant style, while the breathable construction and Max Air units in the forefoot and heel give you a tuned Nike Air experience that offers stability and unbelievable cushioning.","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/3d8e7b58-cf9c-403a-86e1-90f762ded365/air-max-plus-shoes-VXp7Sp.png"
1720548441-5,https://www.nike.com/ca/men,Best Sellers,https://www.nike.com/ca/w/mens-best-76m50znik1,Shoes,https://www.nike.com/ca/w/mens-best-shoes-76m50znik1zy7ok,"<img alt=""Nike Alphafly 3 Blueprint Men&#x27;s Road Racing Shoes"" class=""product-card__hero-image css-1fxh5tw"" height=""400"" loading=""lazy"" width=""400""/>",https://www.nike.com/ca/t/alphafly-3-blueprint-road-racing-shoes-LsSh7k/HF7357-900,Nike Alphafly 3 Blueprint,$375,"Fine-tuned for marathon speed, the Alphafly 3 helps push you beyond what you thought possible. Three innovative technologies power your run: engineered to the exact specifications of championship athletes, a double dose of Air Zoom units helps launch you into your next step; a full-length carbon-fibre plate helps propel you forwards with ease; and a heel-to-toe ZoomX foam midsole helps keep you fresh from start to 26.2. Time to leave your old personal records in the dust.","https://static.nike.com/a/images/t_PDP_1728_v1/f_auto,q_auto:eco/2510d422-5eac-4321-8bb6-38015c9fd5a3/alphafly-3-blueprint-road-racing-shoes-LsSh7k.png"
